63.6363636364,0.1,DTFS,SA,SD,
18.1818181818,0.6,IR,RMP,fAHP,
63.6363636364,0.5,IR,RMP,fAHP,
81.8181818182,0.4,IR,RMP,fAHP,
63.6363636364,0.3,IR,RMP,fAHP,
36.3636363636,0.2,IR,RMP,fAHP,
72.7272727273,0.1,IR,RMP,fAHP,
54.5454545455,0.6,IR,RH,fAHP,
63.6363636364,0.5,IR,RH,fAHP,
63.6363636364,0.4,IR,RH,fAHP,
27.2727272727,0.3,IR,RH,fAHP,
72.7272727273,0.2,IR,RH,fAHP,
45.4545454545,0.1,IR,RH,fAHP,
45.4545454545,0.6,RMP,RH,fAHP,
54.5454545455,0.5,RMP,RH,fAHP,
45.4545454545,0.4,RMP,RH,fAHP,
63.6363636364,0.3,RMP,RH,fAHP,
36.3636363636,0.2,RMP,RH,fAHP,
27.2727272727,0.1,RMP,RH,fAHP,
72.7272727273,0.6,IR,ST,fAHP,
72.7272727273,0.5,IR,ST,fAHP,
18.1818181818,0.4,IR,ST,fAHP,
27.2727272727,0.3,IR,ST,fAHP,
18.1818181818,0.2,IR,ST,fAHP,
45.4545454545,0.1,IR,ST,fAHP,
63.6363636364,0.6,RMP,ST,fAHP,
45.4545454545,0.5,RMP,ST,fAHP,
54.5454545455,0.4,RMP,ST,fAHP,
45.4545454545,0.3,RMP,ST,fAHP,
36.3636363636,0.2,RMP,ST,fAHP,
54.5454545455,0.1,RMP,ST,fAHP,
72.7272727273,0.6,RH,ST,fAHP,
27.2727272727,0.5,RH,ST,fAHP,
27.2727272727,0.4,RH,ST,fAHP,
36.3636363636,0.3,RH,ST,fAHP,
36.3636363636,0.2,RH,ST,fAHP,
54.5454545455,0.1,RH,ST,fAHP,
63.6363636364,0.6,IR,DTFS,fAHP,
63.6363636364,0.5,IR,DTFS,fAHP,
27.2727272727,0.4,IR,DTFS,fAHP,
36.3636363636,0.3,IR,DTFS,fAHP,
63.6363636364,0.2,IR,DTFS,fAHP,
54.5454545455,0.1,IR,DTFS,fAHP,
54.5454545455,0.6,RMP,DTFS,fAHP,
63.6363636364,0.5,RMP,DTFS,fAHP,
54.5454545455,0.4,RMP,DTFS,fAHP,
36.3636363636,0.3,RMP,DTFS,fAHP,
36.3636363636,0.2,RMP,DTFS,fAHP,
45.4545454545,0.1,RMP,DTFS,fAHP,
36.3636363636,0.6,RH,DTFS,fAHP,
18.1818181818,0.5,RH,DTFS,fAHP,
27.2727272727,0.4,RH,DTFS,fAHP,
63.6363636364,0.3,RH,DTFS,fAHP,
54.5454545455,0.2,RH,DTFS,fAHP,
36.3636363636,0.1,RH,DTFS,fAHP,
63.6363636364,0.6,ST,DTFS,fAHP,
45.4545454545,0.5,ST,DTFS,fAHP,
36.3636363636,0.4,ST,DTFS,fAHP,
63.6363636364,0.3,ST,DTFS,fAHP,
36.3636363636,0.2,ST,DTFS,fAHP,
63.6363636364,0.1,ST,DTFS,fAHP,
54.5454545455,0.6,IR,SA,fAHP,
45.4545454545,0.5,IR,SA,fAHP,
45.4545454545,0.4,IR,SA,fAHP,
54.5454545455,0.3,IR,SA,fAHP,
72.7272727273,0.2,IR,SA,fAHP,
54.5454545455,0.1,IR,SA,fAHP,
36.3636363636,0.6,RMP,SA,fAHP,
36.3636363636,0.5,RMP,SA,fAHP,
18.1818181818,0.4,RMP,SA,fAHP,
81.8181818182,0.3,RMP,SA,fAHP,
54.5454545455,0.2,RMP,SA,fAHP,
45.4545454545,0.1,RMP,SA,fAHP,
