34.4827586207,0.5,IR,RMP,SA,SD,
43.6781609195,0.4,IR,RMP,SA,SD,
58.6206896552,0.3,IR,RMP,SA,SD,
48.275862069,0.2,IR,RMP,SA,SD,
54.0229885057,0.1,IR,RMP,SA,SD,
56.3218390805,0.5,IR,RH,SA,SD,
44.8275862069,0.4,IR,RH,SA,SD,
49.4252873563,0.3,IR,RH,SA,SD,
56.3218390805,0.2,IR,RH,SA,SD,
57.4712643678,0.1,IR,RH,SA,SD,
54.0229885057,0.5,RMP,RH,SA,SD,
57.4712643678,0.4,RMP,RH,SA,SD,
47.1264367816,0.3,RMP,RH,SA,SD,
56.3218390805,0.2,RMP,RH,SA,SD,
45.9770114943,0.1,RMP,RH,SA,SD,
68.9655172414,0.5,IR,ST,SA,SD,
41.3793103448,0.4,IR,ST,SA,SD,
33.3333333333,0.3,IR,ST,SA,SD,
44.8275862069,0.2,IR,ST,SA,SD,
36.7816091954,0.1,IR,ST,SA,SD,
64.367816092,0.5,RMP,ST,SA,SD,
59.7701149425,0.4,RMP,ST,SA,SD,
64.367816092,0.3,RMP,ST,SA,SD,
45.9770114943,0.2,RMP,ST,SA,SD,
41.3793103448,0.1,RMP,ST,SA,SD,
52.8735632184,0.5,RH,ST,SA,SD,
54.0229885057,0.4,RH,ST,SA,SD,
58.6206896552,0.3,RH,ST,SA,SD,
48.275862069,0.2,RH,ST,SA,SD,
40.2298850575,0.1,RH,ST,SA,SD,
40.2298850575,0.5,IR,DTFS,SA,SD,
50.5747126437,0.4,IR,DTFS,SA,SD,
42.5287356322,0.3,IR,DTFS,SA,SD,
41.3793103448,0.2,IR,DTFS,SA,SD,
39.0804597701,0.1,IR,DTFS,SA,SD,
44.8275862069,0.5,RMP,DTFS,SA,SD,
59.7701149425,0.4,RMP,DTFS,SA,SD,
56.3218390805,0.3,RMP,DTFS,SA,SD,
58.6206896552,0.2,RMP,DTFS,SA,SD,
40.2298850575,0.1,RMP,DTFS,SA,SD,
52.8735632184,0.5,RH,DTFS,SA,SD,
44.8275862069,0.4,RH,DTFS,SA,SD,
49.4252873563,0.3,RH,DTFS,SA,SD,
48.275862069,0.2,RH,DTFS,SA,SD,
